,CLIENT_ID,RETRO_DT,tokens,DEF,urls_hashed
25781,224223731,20211218,орехово 5 упоминания 1 появилась 1 подслушано 1 новости 1 написано 1 сообщества 1 расписании 1 номера 1 которым 2 спрашивает 1 автобусов 1 заметил 1 стене 1 фотографии 1 борисово 5 творится 1 выставка 1 каширская 1 станции 1 вадим 1 игнат 1 понравилось 2 дтп 1 поменяли 1 видео 2,1,
26392,1316950,20210422,,0,1192d043fa15f11a5f0412c8b978a4c2 1 b83fe5d3910c183d30e9c68ca56c9220 1 aee71c8d18d6b91b36bf599208a91777 1 c559cff1e7d1df756cb212a22311ea3b 1
27542,5456340,20200416,,0,
27783,5220848,20200223,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 13
29094,5723355,20200709,,0,
29356,5949823,20200926,видеокаталог 1 войны 1 метро 2 битва 2 легенда 9 правила 1 новости 3 клипы 1 город 3 сообщения 1 вампире 9,0,
29578,1014124931,20210929,история 1 пленного 1 новости 1 человечества 1 солдаты 1 финские 1,0,
30049,5015670,20200111,,0,
30110,1883868,20210917,оханск 1 услуги 1 вакансии 1 объявлений 1 район 1 работа 1 доска 1,1,
30417,5667250,20200618,леса 3 evening 1 art 1 сообщества 3 деревни 2 обсуждения 1 оля 3 жильцов 2 warm 1 грехов 3 история 3 ларина 3 список 2,0,
30671,89595631,20210816,,0,26f54739d3a38133d223b8f017dfe2cd 2
31000,4991650,20200107,,1,0028c3b68113a97ccf75351d44d647cd 2
31658,1015186281,20211023,,0,938bf1091811d292f3fa46ab379110c6 1 197d57e77f651463185666921cce7d74 1
32330,817571831,20220212,,0,d8877075c359034c6cb8b9ce2b1748a3 1 1192d043fa15f11a5f0412c8b978a4c2 3 83802fb86602a0fcc40436c0c50d0824 2 aee71c8d18d6b91b36bf599208a91777 3 c559cff1e7d1df756cb212a22311ea3b 3
32811,5475240,20200421,,1,b4f70239244c5452b6d5e0345955223a 1
33136,1010152441,20210627,,0,8cf0c68a7b804b4a3859b9f27e28f1c2 9 43ce2d9f00b72c7843a281e2e2b869f7 8 aee71c8d18d6b91b36bf599208a91777 9
33320,5283241,20200308,стена 2 новости 3,0,
33613,1319413,20210520,,1,d8877075c359034c6cb8b9ce2b1748a3 3 aee71c8d18d6b91b36bf599208a91777 6 8cf0c68a7b804b4a3859b9f27e28f1c2 3 3c9735adfff393e630827fb013f5a993 3 83802fb86602a0fcc40436c0c50d0824 3 9114ae77e77ebec660859b43116f5a2f 3 1192d043fa15f11a5f0412c8b978a4c2 3 43ce2d9f00b72c7843a281e2e2b869f7 6 c559cff1e7d1df756cb212a22311ea3b 3
34293,5409710,20200405,,1,1b2d5730f37e0c776859c002c5be9c47 4
34377,5313320,20200315,,0,
34920,217662171,20210726,,1,5ca4fa471a748328843769f0ee4d60cc 1 c559cff1e7d1df756cb212a22311ea3b 1
35374,5615943,20200530,заказ 1 кухни 1 производителя 1,0,
36256,89304511,20210808,дикие 1 сообщества 1 атака 1 макаров 1 прелесть 1 подслушано 1 записи 1 сергей 1 мессенджер 6 титанов 1 отдам 1,0,
36289,5571168,20200516,,0,
36490,218938321,20210825,юлии 1 срочно 1 поможем 1 вместе 1 помощь 1 нужна 1,0,
36830,5921167,20200916,музыку 1 подписка 1,0,
37885,1149461,20210316,release 1 calendar 1 rental 1 software 1,0,
38472,1296447,20210418,,0,1a949a82f9f6be9096b327557b848d16 2
39750,1120136,20210308,бокс 1 конкурс 1 подари 2 порадуйте 1 небольшой 1 близких 1 милой 1 реклама 1 дарим 1 репост 1 счастье 2,0,
40010,1907807,20210923,взаимные 1 пиар 1 объявления 1 лайки 1 взаимный 1 video 1 tube 1,1,
40226,1414874,20210623,,0,7e58de43ed56593cd35c4a65ce656de5 1 88ba7efdf1892f114177a6b7aef0baa9 2
40716,1018112561,20211221,орехово 5 упоминания 1 появилась 1 подслушано 1 новости 1 написано 1 сообщества 1 расписании 1 номера 1 которым 2 спрашивает 1 автобусов 1 заметил 1 стене 1 фотографии 1 борисово 5 творится 1 выставка 1 каширская 1 станции 1 вадим 1 игнат 1 понравилось 2 дтп 1 поменяли 1 видео 2,1,
41170,5496200,20200426,,1,176f242b1d3ad122d5ed37b99431f8b6 1
41459,5017634,20200112,,0,
41746,6037653,20201024,потехин 1 конкурс 1 мордовии 1 прислали 1 письмо 1 республика 1 регион 1 алексей 1 мордовия 1 мессенджер 1 армейская 1,1,
41974,5095180,20200127,,0,
42034,5631321,20200604,,0,aee71c8d18d6b91b36bf599208a91777 1 c559cff1e7d1df756cb212a22311ea3b 1
42859,1011568292,20210727,,0,aee71c8d18d6b91b36bf599208a91777 1 c5d802e6e9482aeb70cfdb8c43a55f57 1
43070,1014433111,20211005,,0,d8877075c359034c6cb8b9ce2b1748a3 3 aee71c8d18d6b91b36bf599208a91777 4 1192d043fa15f11a5f0412c8b978a4c2 3 7509a127f30f9317b22923f838658855 1 9114ae77e77ebec660859b43116f5a2f 3 3c9735adfff393e630827fb013f5a993 3 43ce2d9f00b72c7843a281e2e2b869f7 1 217568280af6792482af03d05611c4e9 1 c559cff1e7d1df756cb212a22311ea3b 3
43495,226198601,20220124,,0,ae74fe75c0a6a1a55c6c254cff685304 58
44096,1018445591,20211227,,1,938bf1091811d292f3fa46ab379110c6 1
44447,1016079521,20211110,,0,8cf0c68a7b804b4a3859b9f27e28f1c2 1 aee71c8d18d6b91b36bf599208a91777 5
44879,88700641,20210723,,1,5ca4fa471a748328843769f0ee4d60cc 1 c559cff1e7d1df756cb212a22311ea3b 1
45195,5386563,20200401,,0,0028c3b68113a97ccf75351d44d647cd 5 1d7329cea799569df29534a6a0c01024 1
45196,5030046,20200114,,1,
45343,223841821,20211211,,1,1192d043fa15f11a5f0412c8b978a4c2 2 43ce2d9f00b72c7843a281e2e2b869f7 1 aee71c8d18d6b91b36bf599208a91777 4 9114ae77e77ebec660859b43116f5a2f 2 c559cff1e7d1df756cb212a22311ea3b 2
45408,1516377,20210617,,1,938bf1091811d292f3fa46ab379110c6 1 197d57e77f651463185666921cce7d74 1
46163,1501825,20210614,ростова 1 новочеркасск 4 объявления 2 большой 1 поисковый 6 подслушано 1 новости 1 актуальные 4 продажа 1 барахолка 1 дар 1 сообществ 2 новочеркасска 1 фотографий 4 фотографии 6 поиски 4 народные 1 дону 6 поляков 1 обмен 1 новостей 1 запросу 2 альбома 6 отряд 6 мамы 1 ростов 6 новошахтинск 1,0,
46201,1610398,20210708,большой 1 новочеркасск 4 объявления 2 поисковый 6 подслушано 1 новости 1 актуальные 4 продажа 1 барахолка 1 дар 1 сообществ 2 новочеркасска 1 фотографий 4 фотографии 6 поиски 4 народные 1 дону 6 поляков 1 обмен 1 новостей 1 запросу 2 альбома 6 отряд 6 мамы 1 ростов 6 новошахтинск 1 ростова 1,0,
46488,1433108,20210529,видео 1 котопёс 1 самое 1,1,
46905,1289005,20210416,,1,779b7cac94450872fb48c560dc6b0ebd 1 592d32c4aac9a14fa0c66ff2e5f9fe7f 1
47352,5678801,20200622,общага 1 сергей 1 сообщества 1 участники 1 голушко 1,0,
47837,5775100,20200729,,0,
48872,216368431,20210627,музика 2,0,
49862,5275623,20200306,кондрово 1 ищу 1 знакомства 1 подслушано 1 барахолка 1,0,
49972,1685459,20210727,teen 2 brunette 1 дырочки 1 отель 2 oral 1 sex 3 молодые 1 luna 1 секс 2 новости 2 юной 1 coco 1 средневековый 1 жена 2 порно 1 reid 2 запись 2 ошибка 1 dick 1 аси 1 legal 1 hall 1 kurt 1 видеозаписи 1 tits 2 милф 1 главное 2 дупло 1 анал 1 ass 1 star 1 big 2 иванов 1 eternal 1 баллов 1 blowjob 2 vegas 2 девок 2 мамки 1 hardcore 2 домашнее 1 узнала 2 першиной 1 закладки 3 концерт 1 сексуальные 1 зрелые 1 макс 1 девочка 1 riley 2 домашний 1 loves 1 видео 4 wild 1 chick 1 anal 3 частное 1 cock 1 ебли 2,0,
50245,1502372,20210614,,0,
50275,5437650,20200411,,1,0028c3b68113a97ccf75351d44d647cd 2
50403,1614062,20210709,одноклассники 1 твоей 1 социальная 1 играйте 1 бесплатно 1 друзьями 1 аватария 1 мир 1 место 1 сеть 1 игра 1 встречи 1 общение 1 мечты 1,0,
50430,5574088,20200517,,0,
50787,5537410,20200506,молодежи 4 отдел 4 внимание 4 района 4 актив 4,0,
50986,1020699062,20220205,удаленная 1 фриланс 1 подработка 1 оценили 1 работа 1 минут 1 разовая 1,1,
51403,5154279,20200208,,0,
51487,1010917011,20210713,,1,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 9114ae77e77ebec660859b43116f5a2f 1
51988,815737571,20220109,,0,1192d043fa15f11a5f0412c8b978a4c2 1 3c9735adfff393e630827fb013f5a993 1 83802fb86602a0fcc40436c0c50d0824 1 aee71c8d18d6b91b36bf599208a91777 2 c559cff1e7d1df756cb212a22311ea3b 1
52005,5661369,20200616,,1,edc3623edc9dad651f9768f5b18950e3 2 0028c3b68113a97ccf75351d44d647cd 1
52106,5109127,20200130,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 205
53202,5829731,20200816,,1,
53603,226206691,20220124,,1,dff136ebaf8958a2b4d0cf02dbc3f603 1 8e36f233ff6dd7fdea4bf1db89261ece 1
53915,1018449431,20211227,,0,c559cff1e7d1df756cb212a22311ea3b 1 aee71c8d18d6b91b36bf599208a91777 1 c5d802e6e9482aeb70cfdb8c43a55f57 1
53954,1020048611,20220125,,0,aee71c8d18d6b91b36bf599208a91777 3 157b40421135729c7d6d744e08b2347d 1 1192d043fa15f11a5f0412c8b978a4c2 2 83802fb86602a0fcc40436c0c50d0824 3 3c9735adfff393e630827fb013f5a993 2 43ce2d9f00b72c7843a281e2e2b869f7 1 c559cff1e7d1df756cb212a22311ea3b 3
54473,5217818,20200222,игры 2 видеокаталог 1 карелии 1 севера 1 гонки 2 сообщества 1 авторынок 1 карелия 1 петрозаводска 1 дтп 1 видеозаписи 1 выживание 2 видео 1 дороги 1 garderob 1 запросу 1,0,
54635,815657191,20220108,comedy 1 радио 1,0,
55028,6004226,20201013,,0,49187a453ab9b3670d6f5346eade0387 3 47ac64d915aea230cec3089daca73d63 3
55057,1378013,20210518,бюро 2 vid 1 елена 1 подольск 2 климовск 2 уведомления 1 подольска 2 находок 2 портмоне 2 видео 1 мессенджер 1 города 2,0,
55346,6125251,20201116,одноклассники 2,1,
56082,947001,20210425,одноклассники 1 сообщение 1,0,
56109,5988889,20201008,добро 1 porn 1 пожаловать 1 запретный 1 fullhd 1 плод 1 видеозаписи 1,1,
56824,89327771,20210809,одноклассники 9,0,
56955,1630865,20210714,,0,c5d802e6e9482aeb70cfdb8c43a55f57 2 aee71c8d18d6b91b36bf599208a91777 3 c559cff1e7d1df756cb212a22311ea3b 2
57086,5083638,20200125,,0,
57205,5567375,20200515,,0,
57298,5512451,20200430,,0,
57729,5376323,20200330,,0,0028c3b68113a97ccf75351d44d647cd 1
57832,1016311291,20211115,стене 1 объявления 1 высокий 1 заработок 1 сбора 1 новости 2 заявок 1 вакансию 1 style 1 сообщества 1 барахолка 1 подработка 1 простой 1 самые 1 богатые 1 предлагаем 1 фотографии 1 архангельск 2 быкова 1 анастасия 1 форма 1 рекомендации 1 архангельске 1 интересно 1 почта 1 работа 3 банк 1,0,
57997,1277928,20210413,,0,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 9114ae77e77ebec660859b43116f5a2f 1 c559cff1e7d1df756cb212a22311ea3b 1
60287,813963281,20211201,,0,e619a3788f9efa06134c2a537f64e77e 1 aee71c8d18d6b91b36bf599208a91777 16 9114ae77e77ebec660859b43116f5a2f 4 c5d802e6e9482aeb70cfdb8c43a55f57 5 8cf0c68a7b804b4a3859b9f27e28f1c2 6 668a010f64653a5f17b818f58f1c266b 1 1192d043fa15f11a5f0412c8b978a4c2 5 c559cff1e7d1df756cb212a22311ea3b 6
61613,1926843,20210927,,0,88ba7efdf1892f114177a6b7aef0baa9 2 aee71c8d18d6b91b36bf599208a91777 9 c5d802e6e9482aeb70cfdb8c43a55f57 8 7509a127f30f9317b22923f838658855 1 43ce2d9f00b72c7843a281e2e2b869f7 6 c559cff1e7d1df756cb212a22311ea3b 9
61984,810081341,20210829,игры 1 влюбляйся 1 аватария 1 мир 1 играй 1 игра 1 сбываются 1 флиртуй 1 мечты 1,0,
62127,5698370,20200629,,1,
62745,5175634,20200212,,0,c9b0eed32bce901980b937571b52c15b 2 0028c3b68113a97ccf75351d44d647cd 2
62807,222556851,20211117,одноклассники 1,0,
63039,6042202,20201025,игры 1 сообщества 1 техасский 1 тюряга 1 официальная 1 группа 1 вормикс 1 покер 1 никиты 1,0,
63351,1841745,20210907,русские 1 мелодрамы 1 сериалы 1 серия 1 фильмы 1 видео 1 жанр 1,1,
63741,5145744,20200206,,0,0028c3b68113a97ccf75351d44d647cd 2
64143,5630027,20200604,,0,0028c3b68113a97ccf75351d44d647cd 3
64262,5447982,20200414,поэта 1 малая 1 секс 2 porn 1 свингеры 1 юмор 1 точка 1 рай 1 sex 1 зрелых 1 фигуру 1 video 1 интим 2 одна 1 авторынок 1 торчащие 1 скучаю 1 жена 1 порно 2 sexwife 1 слышь 1 гифки 1 ошибка 1 единорог 1 тетрадь 1 девушки 1 анекдоты 1 мужской 1 мжм 1 покажи 1 шлюха 1 пошлый 1 вышло 1 заряд 1 пошлых 1 пошлые 2 авто 1 душа 1 nice 1 интимные 1 клуб 1 автомобиля 1 hub 1 normal 1 машины 1 жмж 1 знакомства 2 коллекция 1 приколы 1 элитный 1 подсмотрено 1 нерв 1 няшки 1 ваз 1 таз 1 селфи 1 dolbit 1 бпан 1 золотая 1 брат 1 чате 1 обмен 2 извращенки 1 русские 1 истории 1 pornhub 1 секса 1 жены 1 dom 1 think 1 плюс 1 приора 1 фото 2 соски 1 мерседес 1 криминал 1 песня 1 лифчика 1 спортивная 1 журнал 1,0,
64481,1637461,20210715,,0,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 9114ae77e77ebec660859b43116f5a2f 1 c559cff1e7d1df756cb212a22311ea3b 1
65198,5264279,20200304,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 2
65494,5515757,20200501,,1,
66542,5362531,20200326,гости 2 игры 1 ильи 1 сообщества 1 подкаст 2 программиста 1 озвучки 2 видеозаписи 2 рамбл 2 романченко 1 анализ 2,1,
66646,1844490,20210908,,0,d8877075c359034c6cb8b9ce2b1748a3 1 3c9735adfff393e630827fb013f5a993 1 aee71c8d18d6b91b36bf599208a91777 1 9114ae77e77ebec660859b43116f5a2f 1 c559cff1e7d1df756cb212a22311ea3b 1
67431,223432161,20211203,мини 1 приложения 1 статистика 1,0,
67550,5204456,20200219,секс 2 cuckold 2 строго 1 неграми 1 подборка 1 porno 2 сообщества 1 bbc 3 звезд 1 black 3 знакомств 1 порно 1 видеозаписи 2 amateur 2 big 3 знакомства 1 мамками 1 тема 1 межрассовое 1 запросу 1 молостова 1 зрелыми 1 vanilla 1 сочными 1 interracial 2 ххххх 1 видео 1 cock 3,0,
67569,5282162,20200307,,1,0f368a2d28e4440e8679dcb8115fd5c0 3 ae964ea7904692e8264a2232061121a3 3
69106,5428974,20200409,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 3
69754,1401676,20210523,одноклассники 16,0,
70434,5539232,20200506,,1,1b2d5730f37e0c776859c002c5be9c47 1 0028c3b68113a97ccf75351d44d647cd 1 c9f124b819b7a2dbef3f0bcbf0330b9b 3
70512,815711221,20220109,варфоломеева 1 юлии 1 юлия 1 сообщества 1,0,
70891,5481734,20200422,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 1
71396,5072695,20200123,гости 1 игры 1 oscar 1 поклонники 1 новости 1 автоматы 1 slots 1 игровые 1,0,
72268,216627951,20210702,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 1 0ed019a60b5b1167cdc7b4a04fb96659 1 9114ae77e77ebec660859b43116f5a2f 1 23bc07e9ad3d4267a888d143cf947805 1
72368,1019040722,20220107,варфоломеева 1 юлии 1 юлия 1 сообщества 1,0,
74110,1394624,20210521,театр 3 моды 3 орхидея 3,0,
74910,5373567,20200329,,0,
76464,5433531,20200410,новости 1 небо 1,0,
76842,1635437,20210714,названия 1 видео 1,0,
77482,5033640,20200115,,0,d307c8f8ca3aa9b2d021db461de0f31c 1
78175,815313441,20211231,netflix 1 кинокайф 1 фильмы 1 лучшие 1 видео 1,0,
78516,5969132,20201002,,1,
78603,1796737,20210824,,0,9908c1f1bffe1f099213b67b5272012b 1 c611c3d9fac0e7dec6c4730d7b110d0b 1 f1298f226bb38445dc547a6c903e79a9 1 381ec44c7881cd72599521bc36c09908 1 0fd5d3f4b5f90d860532b1c9490d3b49 1
78853,1021749721,20220222,народов 2 дерево 2 славянского 2 традиции 2 россии 2 центр 2 живые 2 мировое 2,0,
78884,4978819,20200105,,0,
79385,1909896,20210923,,0,d8877075c359034c6cb8b9ce2b1748a3 5 88ba7efdf1892f114177a6b7aef0baa9 2 aee71c8d18d6b91b36bf599208a91777 6 ebd5df7373200048eff1e7bf409edd15 1 1192d043fa15f11a5f0412c8b978a4c2 6 7509a127f30f9317b22923f838658855 1 83802fb86602a0fcc40436c0c50d0824 1 9114ae77e77ebec660859b43116f5a2f 6 3c9735adfff393e630827fb013f5a993 6 43ce2d9f00b72c7843a281e2e2b869f7 5 b1743c872549374e00f52d07057e5f51 4 930ee11adcb3ef8886f6ccd36328e709 1 c559cff1e7d1df756cb212a22311ea3b 6
79813,5544156,20200508,,0,6e0f196a1e0e4fe7946a74097b30738d 1
79828,219891101,20210918,,1,
79934,5079828,20200124,,1,0028c3b68113a97ccf75351d44d647cd 2 ee71df7c1f76170b2373bafc6e2c6569 1
